20 20 5 true false
FOX 17 2 3 0 false
FOX 9 4 3 0 false
FOX 13 11 6 0 false
FOX 6 5 3 0 false
FOX 5 10 3 0 false
FOX 3 18 6 0 false
FOX 7 19 3 0 false
FOX 7 1 3 0 false
FOX 11 5 3 0 false
FOX 10 6 3 0 false
FOX 11 11 3 0 false
FOX 10 0 3 1 false
FOX 10 4 3 4 false
WOLF 14 4 9 0 false
WOLF 18 13 9 0 false
WOLF 3 0 9 0 false
WOLF 9 15 9 0 false
WOLF 9 7 9 0 false
WOLF 9 11 9 0 false
WOLF 10 8 12 0 false
WOLF 8 3 9 0 false
WOLF 8 13 9 3 false
HUMAN 19 11 5 0 false 0 0 false true
CYBERSHEEP 5 18 11 0 false
CYBERSHEEP 18 8 11 0 false
CYBERSHEEP 14 19 14 0 false
CYBERSHEEP 5 0 11 0 false
CYBERSHEEP 13 15 11 0 false
CYBERSHEEP 4 8 14 0 false
CYBERSHEEP 12 17 11 0 false
SHEEP 2 16 7 0 false
CYBERSHEEP 15 2 11 0 false
ANTELOPE 3 16 4 0 false
ANTELOPE 19 16 4 0 false
CYBERSHEEP 4 9 11 0 false
SHEEP 3 5 4 0 false
CYBERSHEEP 1 10 11 0 false
CYBERSHEEP 11 15 11 0 false
SHEEP 1 2 7 0 false
ANTELOPE 18 0 7 0 false
TURTLE 7 11 2 0 false
TURTLE 12 13 5 0 false
TURTLE 12 0 2 0 false
TURTLE 17 18 2 0 false
TURTLE 17 6 2 0 false
TURTLE 2 17 2 0 false
TURTLE 16 6 2 0 false
TURTLE 2 18 2 0 false
TURTLE 19 14 2 0 false
GOJI 5 9 99 0 false
GOJI 18 15 99 0 false
GRASS 15 10 0 0 false
GUARANA 7 5 0 0 false
PINEBROSCHT 3 7 10 0 false
DANDELION 12 7 0 0 false
GRASS 2 13 0 0 false
DANDELION 7 8 0 0 false
PINEBROSCHT 11 18 10 0 false
GRASS 0 9 0 0 false
PINEBROSCHT 19 4 10 0 false
GOJI 3 1 99 0 false
GRASS 3 12 0 0 false
DANDELION 1 3 0 0 false
DANDELION 14 9 0 0 false
GOJI 15 8 99 0 false
GRASS 19 7 0 0 false
DANDELION 0 6 0 0 false
GUARANA 12 2 0 0 false
DANDELION 19 6 0 0 false
GOJI 4 3 99 0 false
GUARANA 14 1 0 0 false
GOJI 14 13 99 0 false
GOJI 13 0 99 0 false
GRASS 2 12 0 0 false
GUARANA 16 12 0 0 false
GOJI 8 18 99 0 false
PINEBROSCHT 0 3 10 0 false
GOJI 6 3 99 0 false
DANDELION 19 2 0 0 false
GOJI 6 13 99 0 false
GOJI 13 7 99 0 false
GUARANA 14 11 0 0 false
GUARANA 5 8 0 0 false
GOJI 3 8 99 0 false
GUARANA 13 1 0 0 false
PINEBROSCHT 0 7 10 0 false
GOJI 9 3 99 0 false
GOJI 8 0 99 0 false
PINEBROSCHT 9 17 10 0 false
DANDELION 19 13 0 0 false
DANDELION 13 9 0 0 false
GUARANA 10 18 0 0 false
GOJI 6 2 99 0 false
PINEBROSCHT 7 16 10 0 false
GUARANA 17 0 0 0 false
PINEBROSCHT 8 16 10 0 false
GRASS 6 9 0 0 false
GOJI 15 6 99 0 false
GOJI 8 15 99 0 false
DANDELION 12 8 0 1 false
DANDELION 7 9 0 1 false
DANDELION 1 4 0 1 false
DANDELION 14 8 0 1 false
DANDELION 18 6 0 1 false
DANDELION 13 14 0 1 false
GUARANA 6 8 0 1 false
GUARANA 16 19 0 1 false
DANDELION 12 9 0 1 false
GRASS 15 9 0 2 false
DANDELION 7 7 0 2 false
PINEBROSCHT 19 3 10 2 false
