20 20 6 true false
FOX 17 16 3 0 false
FOX 9 2 3 0 false
FOX 17 17 3 0 false
WOLF 6 7 9 0 false
WOLF 18 18 9 0 false
HUMAN 1 4 5 0 false 0 0 false true
SHEEP 6 18 4 0 false
CYBERSHEEP 9 1 11 0 false
CYBERSHEEP 15 9 11 0 false
CYBERSHEEP 14 10 11 0 false
ANTELOPE 16 4 7 0 false
CYBERSHEEP 14 11 11 0 false
CYBERSHEEP 8 3 11 0 false
CYBERSHEEP 2 12 11 0 false
SHEEP 14 14 10 0 false
CYBERSHEEP 3 10 11 0 false
SHEEP 11 3 4 0 false
SHEEP 9 6 4 0 false
SHEEP 3 0 4 0 false
ANTELOPE 5 12 4 0 false
TURTLE 4 2 2 0 false
PINEBROSCHT 1 8 10 0 false
DANDELION 16 3 0 0 false
GUARANA 10 16 0 0 false
GOJI 4 13 99 0 false
GUARANA 8 14 0 0 false
GRASS 19 7 0 0 false
GRASS 18 1 0 0 false
DANDELION 18 10 0 0 false
GUARANA 18 3 0 0 false
DANDELION 13 18 0 0 false
GUARANA 14 6 0 0 false
DANDELION 5 11 0 0 false
GOJI 9 3 99 0 false
GOJI 0 16 99 0 false
PINEBROSCHT 9 18 10 0 false
GOJI 4 3 99 0 false
GOJI 0 7 99 0 false
GRASS 10 9 0 0 false
GOJI 0 0 99 0 false
GRASS 10 4 0 0 false
GOJI 1 14 99 0 false
GUARANA 4 4 0 0 false
GUARANA 5 16 0 0 false
DANDELION 16 2 0 1 false
GRASS 19 8 0 1 false
GRASS 18 2 0 1 false
GUARANA 13 9 0 1 false
DANDELION 12 18 0 1 false
DANDELION 13 19 0 1 false
PINEBROSCHT 13 11 10 1 false
GUARANA 11 13 0 1 false
GUARANA 8 15 0 2 false
DANDELION 17 10 0 2 false
GUARANA 17 3 0 2 false
DANDELION 5 10 0 2 false
GRASS 9 9 0 2 false
DANDELION 15 4 0 2 false
DANDELION 12 17 0 2 false
DANDELION 12 19 0 2 false
GUARANA 11 12 0 2 false
DANDELION 15 3 0 3 false
GUARANA 7 14 0 3 false
DANDELION 18 9 0 3 false
DANDELION 13 17 0 3 false
DANDELION 6 11 0 3 false
GRASS 11 4 0 3 false
GUARANA 5 4 0 3 false
DANDELION 16 1 0 3 false
DANDELION 16 5 0 3 false
GRASS 19 2 0 3 false
GUARANA 14 9 0 3 false
DANDELION 11 18 0 3 false
DANDELION 14 19 0 3 false
GUARANA 17 2 0 3 false
DANDELION 15 5 0 3 false
DANDELION 14 4 0 3 false
DANDELION 12 16 0 3 false
DANDELION 11 17 0 3 false
DANDELION 11 19 0 3 false
GUARANA 10 12 0 3 false
GUARANA 18 4 0 4 false
DANDELION 15 2 0 4 false
DANDELION 17 9 0 4 false
DANDELION 6 10 0 4 false
DANDELION 5 9 0 4 false
GRASS 9 8 0 4 false
GUARANA 12 12 0 4 false
DANDELION 18 8 0 4 false
DANDELION 19 9 0 4 false
DANDELION 13 16 0 4 false
DANDELION 14 17 0 4 false
DANDELION 6 12 0 4 false
DANDELION 7 11 0 4 false
GUARANA 5 5 0 4 false
DANDELION 15 1 0 4 false
DANDELION 17 1 0 4 false
DANDELION 17 5 0 4 false
GRASS 19 1 0 4 false
DANDELION 10 18 0 4 false
DANDELION 15 6 0 4 false
DANDELION 12 15 0 4 false
DANDELION 11 16 0 4 false
DANDELION 10 17 0 4 false
DANDELION 10 19 0 4 false
GRASS 18 7 0 5 false
DANDELION 18 11 0 5 false
GUARANA 19 3 0 5 false
DANDELION 14 18 0 5 false
GRASS 10 10 0 5 false
GUARANA 12 13 0 5 false
GUARANA 11 11 0 5 false
DANDELION 14 3 0 5 false
GUARANA 6 14 0 5 false
GUARANA 6 4 0 5 false
DANDELION 16 0 0 5 false
DANDELION 15 19 0 5 false
GUARANA 9 12 0 5 false
DANDELION 17 8 0 5 false
DANDELION 7 10 0 5 false
GRASS 10 8 0 5 false
DANDELION 19 10 0 5 false
DANDELION 15 17 0 5 false
DANDELION 14 16 0 5 false
DANDELION 6 13 0 5 false
DANDELION 7 12 0 5 false
DANDELION 8 11 0 5 false
DANDELION 14 1 0 5 false
DANDELION 17 0 0 5 false
DANDELION 18 5 0 5 false
GRASS 19 0 0 5 false
DANDELION 11 15 0 5 false
DANDELION 9 19 0 5 false
GUARANA 13 6 0 6 false
GRASS 10 5 0 6 false
GUARANA 4 5 0 6 false
GUARANA 4 16 0 6 false
GUARANA 13 10 0 6 false
GUARANA 7 15 0 6 false
DANDELION 4 10 0 6 false
GRASS 8 9 0 6 false
DANDELION 16 6 0 6 false
GUARANA 10 13 0 6 false
GUARANA 17 4 0 6 false
DANDELION 14 2 0 6 false
DANDELION 16 9 0 6 false
DANDELION 6 9 0 6 false
GRASS 8 8 0 6 false
GUARANA 13 12 0 6 false
DANDELION 13 15 0 6 false
DANDELION 15 0 0 6 false
DANDELION 17 6 0 6 false
DANDELION 15 7 0 6 false
DANDELION 12 14 0 6 false
DANDELION 9 17 0 6 false
DANDELION 15 18 0 6 false
GUARANA 13 13 0 6 false
GUARANA 12 11 0 6 false
DANDELION 13 3 0 6 false
DANDELION 7 9 0 6 false
DANDELION 19 11 0 6 false
DANDELION 16 17 0 6 false
DANDELION 5 13 0 6 false
DANDELION 8 12 0 6 false
DANDELION 9 11 0 6 false
DANDELION 8 10 0 6 false
DANDELION 14 0 0 6 false
DANDELION 13 1 0 6 false
DANDELION 18 0 0 6 false
DANDELION 18 6 0 6 false
DANDELION 10 15 0 6 false
DANDELION 8 19 0 6 false
