20 20 11 false false
FOX 5 4 6 0 false
FOX 5 10 3 0 false
FOX 5 18 6 0 false
FOX 7 17 3 0 false
FOX 5 1 3 0 false
FOX 12 6 3 0 false
FOX 12 7 3 0 false
FOX 10 2 3 1 false
FOX 12 2 9 4 false
WOLF 13 5 9 0 false
WOLF 19 12 9 0 false
WOLF 9 5 9 0 false
WOLF 11 9 9 0 false
WOLF 11 10 12 0 false
WOLF 8 5 12 0 false
WOLF 6 9 9 3 false
CYBERSHEEP 7 15 11 0 false
CYBERSHEEP 18 4 11 0 false
CYBERSHEEP 10 17 26 0 false
CYBERSHEEP 9 15 11 0 false
CYBERSHEEP 9 16 14 0 false
SHEEP 1 15 7 0 false
CYBERSHEEP 18 3 11 0 false
ANTELOPE 16 19 13 0 false
CYBERSHEEP 2 7 11 0 false
ANTELOPE 19 1 7 0 false
TURTLE 6 11 2 0 false
TURTLE 12 13 5 0 false
TURTLE 16 18 5 0 false
TURTLE 17 6 2 0 false
TURTLE 16 5 2 0 false
TURTLE 1 19 2 0 false
TURTLE 19 14 2 0 false
GOJI 5 9 99 0 false
GOJI 18 15 99 0 false
GRASS 15 10 0 0 false
PINEBROSCHT 3 7 10 0 false
GRASS 2 13 0 0 false
DANDELION 7 8 0 0 false
GRASS 0 9 0 0 false
GOJI 3 1 99 0 false
GRASS 3 12 0 0 false
DANDELION 14 9 0 0 false
GOJI 15 8 99 0 false
GRASS 19 7 0 0 false
DANDELION 0 6 0 0 false
DANDELION 19 6 0 0 false
GOJI 4 3 99 0 false
GUARANA 14 1 0 0 false
GOJI 14 13 99 0 false
GOJI 13 0 99 0 false
GRASS 2 12 0 0 false
GUARANA 16 12 0 0 false
GOJI 8 18 99 0 false
PINEBROSCHT 0 3 10 0 false
GOJI 6 3 99 0 false
DANDELION 19 2 0 0 false
GOJI 6 13 99 0 false
GOJI 13 7 99 0 false
GUARANA 14 11 0 0 false
GUARANA 5 8 0 0 false
GOJI 3 8 99 0 false
GUARANA 13 1 0 0 false
